symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,dynamic_threshold_active,drift_stop_tightened,soft_trim_done,soft_tighten_done,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total
ETH,conservative,long,2026-05-02 09:25:00,2026-05-03 01:35:00,2305.7,2305.7,0.26664,stop,breakout,True,194,1,7.0,0.01107133719571689,False,False,False,False,0.1927499779182563,0.0738900220817437,1.8472505520435925,386.88947603075496
ETH,conservative,short,2026-05-12 06:40:00,2026-05-13 04:50:00,2306.61,2306.61,0.26664,stop,breakout,True,266,1,7.0,0.014083743023990323,False,False,False,False,0.1617467740017439,0.1048932259982561,2.6223306499564023,389.51180668071135
ETH,conservative,short,2026-05-14 11:40:00,2026-05-14 14:45:00,2254.15,2277.4752,-1.0,stop,breakout,True,37,0,7.0,0.010347669853381437,False,False,False,False,0.11886734090168692,-1.118867340901687,-27.971683522542172,361.5401231581692
ETH,conservative,short,2026-05-15 12:10:00,2026-05-18 00:10:00,2251.85,2120.78,2.61574972898841,max_hold_time,breakout,True,720,1,7.0,0.016519275381476763,False,False,False,False,0.19286560254165236,2.4228841264467578,60.57210316116895,422.11222631933816
ETH,conservative,short,2026-06-10 05:10:00,2026-06-10 13:40:00,1622.48,1662.479072143136,-1.0,stop,breakout,True,102,0,7.0,0.024653044809881102,False,False,False,False,0.055165599644507325,-1.0551655996445073,-26.379139991112684,395.73308632822545
ETH,conservative,long,2026-06-11 11:10:00,2026-06-12 06:15:00,1662.43,1662.43,0.26664,stop,breakout,True,229,1,7.0,0.022273283633717403,False,False,False,False,0.09895263025625797,0.16768736974374202,4.192184243593551,399.925270571819
ETH,conservative,short,2026-06-19 12:40:00,2026-06-20 05:10:00,1686.5,1718.4671896510638,-1.0,stop,breakout,True,198,0,7.0,0.018954752238994243,False,False,False,False,0.08187920266281204,-1.0818792026628121,-27.046980066570303,372.8782905052487
ETH,conservative,long,2026-06-20 21:40:00,2026-06-21 21:05:00,1736.35,1709.4370179555633,-1.0,stop,breakout,True,281,0,7.0,0.01549974489269825,False,False,False,False,0.11084053395029295,-1.110840533950293,-27.77101334875732,345.10727715649136
ETH,conservative,short,2026-07-09 02:40:00,2026-07-10 01:45:00,1726.71,1760.1872437830511,-1.0,stop,breakout,True,277,0,7.0,0.019387878556938402,False,False,False,False,0.08819943837475899,-1.088199438374759,-27.204985959368976,317.9022911971224
ETH,conservative,long,2026-07-10 05:55:00,2026-07-12 17:55:00,1779.04,1818.5,1.1744737084181667,max_hold_time,breakout,True,720,1,7.0,0.01628904108986583,False,False,False,False,0.19559162398958885,0.9788820844285778,24.472052110714447,342.37434330783685
ETH,conservative,long,2026-07-15 05:55:00,2026-07-16 08:15:00,1882.68,1882.68,0.26664,stop,breakout,True,316,1,7.0,0.012737459366435186,False,False,False,False,0.18669343167965902,0.07994656832034097,1.9986642080085244,344.37300751584536
ETH,conservative,short,2026-07-24 11:40:00,2026-07-26 00:20:00,1878.9,1878.9,0.26664,stop,breakout,True,440,1,7.0,0.015690758468828475,False,False,False,False,0.16735965984161033,0.09928034015838966,2.4820085039597415,346.8550160198051
ETH,conservative,short,2026-07-28 11:25:00,2026-07-28 15:20:00,1874.61,1906.56119196166,-1.0,stop,breakout,True,47,0,7.0,0.017044180902513067,False,False,False,False,0.07333881323775991,-1.07333881323776,-26.833470330944,320.02154568886107
